uri,uriTitulacion,ou_asignatura,ou_caracterAsignatura,ou_materiaAsignatura,ou_numeroMatriculados,ou_moduloAsignatura,ou_asignatura_code,areasConocimiento,ou_asignatura_courseTitle,ou_asignatura_ects,ou_asignatura_temporalidadAsignatura,ou_cursoAcademico
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500428-1191-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1191-pceo-administracion-y-direccion-de-empresas-y-economia,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500428-economia-industrial-2019-2020,OBLIGATORIA,,20,,500428,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/415-fundamentos-del-analisis-economico,ECONOMÍA INDUSTRIAL,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500362-1704-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1704-grado-en-comunicacion-audiovisual,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500362-produccion-audiovisual-2019-2020,OBLIGATORIA,PRODUCCIÓN, REALIZACIÓN, MONTAJE Y PROGRAMACIÓN AUDIOVISUAL,59,TEORÍA Y PRÁCTICA DE LOS MEDIOS AUDIOVISUAL,500362,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/105-comunicacion-audiovisual-y-publicidad,PRODUCCIÓN AUDIOVISUAL,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500016-1190-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1190-pceo-administracion-y-direccion-de-empresas-y-derecho,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500016-contabilidad-financiera-iii-2019-2020,OBLIGATORIA,,42,,500016,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/230-economia-financiera-y-contabilidad,CONTABILIDAD FINANCIERA III,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/501954-1006-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1006-grado-en-veterinaria,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/501954-patologia-general-2019-2020,FORMACIÓN BÁSICA,PATOLOGÍA GENERAL,95,FORMACIÓN BÁSICA COMÚN,501954,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/617-medicina-y-cirugia-animal,PATOLOGÍA GENERAL,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/501799-1212-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1212-grado-en-podologia,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/501799-analisis-del-movimiento-humano-2019-2020,OBLIGATORIA,BIOMECÁNICA DE LA EXTREMIDAD INFERIOR,69,BIOMECÁNICA Y PODOLOGÍA GENERAL,501799,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/255-enfermeria,ANÁLISIS DEL MOVIMIENTO HUMANO,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500322-1190-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1190-pceo-administracion-y-direccion-de-empresas-y-derecho,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500322-direccion-estrategica-2019-2020,OBLIGATORIA,,38,,500322,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/230-economia-financiera-y-contabilidad,DIRECCIÓN ESTRATÉGICA,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/401322-0138-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/0138-mu-en-quimica-sostenible,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/401322-reacciones-activadas-por-medios-no-convencionales-2019-2020,OPTATIVA,,0,,401322,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/765-quimica-organica,REACCIONES ACTIVADAS POR MEDIOS NO CONVENCIONALES,3,Anual,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/501293-1632-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1632-grado-en-ingenieria-informatica-en-ingenieria-del-software,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/501293-inteligencia-artificial-y-sistemas-inteligentes-2019-2020,OBLIGATORIA,INGENIERÍA DE SOFTWARE, SISTEMAS  DE INFORMACIÓN Y SISTEMAS INTELIGENTES,70,COMÚN A LA RAMA DE INFORMÁTICA,501293,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/570-lenguajes-y-sistemas-informaticos,INTELIGENCIA ARTIFICIAL Y SISTEMAS INTELIGENTES,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/400767-1410-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1410-mu-en-investigacion-en-ciencias-sociales,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/400767-iniciacion-a-la-investigacion-en-empresa-turismo-ii-2019-2020,OPTATIVA,,0,,400767,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/095-comercializacion-e-investigacion-de-mercados  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/465-historia-del-arte  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/650-organizacion-de-empresas,INICIACIÓN A LA INVESTIGACIÓN EN EMPRESA-TURISMO II,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/502273-1790-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1790-pceo-comunicacion-audiovisual-e-informacion-y-documentacion,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/502273-catalogacion-descriptiva-2019-2020,OBLIGATORIA,,7,,502273,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/040-biblioteconomia-y-documentacion,CATALOGACIÓN DESCRIPTIVA,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500146-0390-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0390-pceo-derecho-y-administracion-y-direccion-de-empresas,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500146-derecho-e-instituciones-de-la-union-europea-2019-2020,FORMACIÓN BÁSICA,,53,,500146,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/125-derecho-administrativo  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/135-derecho-constitucional  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/160-derecho-internacional-pco-y-relac-internacionales,DERECHO E INSTITUCIONES DE LA UNIÓN EUROPEA,6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/502575-1411-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1411-grado-en-finanzas-y-contabilidad,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/502575-derecho-de-la-seguridad-social-2019-2020,OPTATIVA,DERECHO DEL TRABAJO,0,ITINERARIO EN FORMACIÓN JURÍDICO EMPRESARIAL: ASESORÍA FISCAL Y LABORAL,502575,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/140-derecho-del-trabajo-y-de-la-seguridad-social,DERECHO DE LA SEGURIDAD SOCIAL,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500429-1191-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1191-pceo-administracion-y-direccion-de-empresas-y-economia,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500429-macroeconomia-ii-2019-2020,OBLIGATORIA,,23,,500429,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/415-fundamentos-del-analisis-economico,MACROECONOMÍA II,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/502880-0717-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0717-grado-en-educacion-primaria-caceres,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/502880-practicum-ii-mencion-lengua-extranjera-ingles-2019-2020,PRACTICAS EXTERNAS,PRACTICUM,14,PRÁCTICAS EXTERNAS Y TRABAJO FIN DE GRADO,502880,,PRACTICUM II - MENCIÓN LENGUA EXTRANJERA: INGLÉS,24,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500443-1114-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1114-grado-en-economia,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500443-practicas-externas-2019-2020,PRACTICAS EXTERNAS,PRÁCTICAS EXTERNAS,23,PRÁCTICAS Y TRABAJO FIN DE GRADO,500443,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/095-comercializacion-e-investigacion-de-mercados  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/130-derecho-civil  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/165-derecho-mercantil  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/225-economia-aplicada  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/230-economia-financiera-y-contabilidad  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/415-fundamentos-del-analisis-economico  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/623-metodos-cuant-para-economia-y-la-emp  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/650-organizacion-de-empresas,PRÁCTICAS EXTERNAS,18,Indefinida,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500912-1625-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/1625-grado-en-ingenieria-civil-transportes-y-servicios-urbanos,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500912-informatica-2019-2020,FORMACIÓN BÁSICA,INFORMÁTICA,2,FORMACION BÁSICA,500912,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/035-arquitectura-y-tecnologia-de-computadores  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/510-ingenieria-de-la-construccion  http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/560-ingenieria-telematica,INFORMÁTICA,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/400734-1116-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/MasterOficial/1116-mu-en-investigacion-en-ciencias-sociales,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/400734-iniciacion-a-la-investigacion-en-ciencias-sociales-y-juridicas-2019-2020,OBLIGATORIA,,2,,400734,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/165-derecho-mercantil,INICIACIÓN A LA INVESTIGACIÓN EN CIENCIAS SOCIALES Y JURÍDICAS,6,Primer Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/500149-0390-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0390-pceo-derecho-y-administracion-y-direccion-de-empresas,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/500149-derecho-administrativo-4-2019-2020,OBLIGATORIA,,41,,500149,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/125-derecho-administrativo,DERECHO ADMINISTRATIVO (4),6,Segundo Semestre,2019-2020
http://opendata.unex.es/recurso/educacion/universidad/AsignaturaTitulacion/502652-0824-2019-2020,http://opendata.unex.es/recurso/educacion/universidad/titulaciones/Grado/0824-grado-en-ingenieria-de-materiales,http://opendata.unex.es/recurso/educacion/universidad/Asignatura/502652-tecnicas-de-caracterizacion-de-materiales-2019-2020,OBLIGATORIA,TÉCNICAS DE CARACTERIZACIÓN DE MATERIALES,1,TECNOLOGÍA ESPECÍFICA DE MATERIALES,502652,http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/065-ciencias-de-materiales-e-ingenieria-metalurgica,TÉCNICAS DE CARACTERIZACIÓN DE MATERIALES,6,Primer Semestre,2019-2020
