"ID_UNIVERSIDAD","ID_TITULACION","NOMBRE_TITULACION","NOMBRE_TIPO_TITULACION"
"029","2500237","Graduado o Graduada en Ingeniería Informática ","Grado"
"029","2500238","Graduado o Graduada en Sistemas de Información  po","Grado"
"029","2500238","Graduado o Graduada en Sistemas de Información por","Grado"
"022","2500239","Graduado o Graduada en Historia del Arte","Grado"
"022","2500240","Graduado o Graduada en Musicología","Grado"
"022","2500241","Graduado o Graduada en Arqueología ","Grado"
"022","2500242","Graduado o Graduada en Diseño","Grado"
"022","2500242","Graduado o Graduada en Diseño por la Universidad A","Grado"
"022","2500243","Graduado o Graduada en Estudios Clásicos","Grado"
"022","2500244","Graduado o Graduada en Estudios de Asia Oriental ","Grado"
"022","2500245","Graduado o Graduada en Estudios Ingleses","Grado"
"022","2500246","Graduado o Graduada en Filosofía ","Grado"
"022","2500247","Graduado o Graduada en Lengua y Literatura Catalan","Grado"
"022","2500248","Graduado o Graduada en Lengua y Literatura Español","Grado"
"022","2500249","Graduado o Graduada en Traducción e Interpretación","Grado"
"022","2500250","Graduado o Graduada en Biología ","Grado"
"022","2500251","Graduado o Graduada en Biología Ambiental ","Grado"
"022","2500252","Graduado o Graduada en Bioquímica","Grado"
"022","2500253","Graduado o Graduada en Biotecnología ","Grado"
"022","2500254","Graduado o Graduada en Geología ","Grado"
"022","2500255","Graduado o Graduada en Terapia Ocupacional ","Grado"
"022","2500256","Graduado o Graduada en Antropología Social y Cultu","Grado"
"022","2500257","Graduado o Graduada en Criminología ","Grado"
"022","2500257","Graduado o Graduada en Criminología  por la Univer","Grado"
"022","2500258","Graduado o Graduada en Relaciones Laborales ","Grado"
"022","2500259","Graduado o Graduada en Ciencia Política y Gestión ","Grado"
"022","2500260","Graduado o Graduada en Educación Social ","Grado"
"022","2500261","Graduado o Graduada en Pedagogía","Grado"
"022","2500262","Graduado o Graduada en Sociología","Grado"
"022","2500263","Graduado o Graduada en Ingeniería en Organización ","Grado"
"023","2500264","Graduado o Graduada en Ciencias Ambientales ","Grado"
