uri,aiiso_code,foaf_name
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/390-fisica-atomica-molecular-y-nuclear,390,FÍSICA ATÓMICA, MOLECULAR Y NUCLEAR
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/395-fisica-de-la-materia-condensada,395,FÍSICA DE LA MATERIA CONDENSADA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/398-fisica-de-la-tierra,398,FÍSICA DE LA TIERRA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/405-fisica-teorica,405,FÍSICA TEÓRICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/410-fisiologia,410,FISIOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/412-fisiologia-vegetal,412,FISIOLOGÍA VEGETAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/413-fisioterapia,413,FISIOTERAPIA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/415-fundamentos-del-analisis-economico,415,FUNDAMENTOS DEL ANÁLISIS ECONÓMICO
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/420-genetica,420,GENÉTICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/430-geografia-fisica,430,GEOGRAFÍA FÍSICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/435-geografia-humana,435,GEOGRAFÍA HUMANA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/440-geometria-y-topologia,440,GEOMETRÍA Y TOPOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/445-historia-antigua,445,HISTORIA ANTIGUA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/450-historia-contemporanea,450,HISTORIA CONTEMPORÁNEA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/455-historia-de-america,455,HISTORIA DE AMÉRICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/460-historia-de-la-ciencia,460,HISTORIA DE LA CIENCIA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/465-historia-del-arte,465,HISTORIA DEL ARTE
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/470-historia-del-derecho-y-de-las-instituciones,470,HISTORIA DEL DERECHO Y DE LAS INSTITUCIONES
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/480-historia-e-instituciones-economicas,480,HISTORIA E INSTITUCIONES ECONÓMICAS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/485-historia-medieval,485,HISTORIA MEDIEVAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/490-historia-moderna,490,HISTORIA MODERNA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/500-ingenieria-agroforestal,500,INGENIERÍA AGROFORESTAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/505-ingenieria-cartografica-geodesia-y-fotogrametria,505,INGENIERÍA CARTOGRÁFICA, GEODESIA Y FOTOGRAMETRÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/510-ingenieria-de-la-construccion,510,INGENIERÍA DE LA CONSTRUCCIÓN
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/515-ingenieria-de-los-procesos-de-fabricacion,515,INGENIERÍA DE LOS PROCESOS DE FABRICACIÓN
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/520-ingenieria-de-sistemas-y-automatica,520,INGENIERÍA DE SISTEMAS Y AUTOMÁTICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/525-ingenieria-del-terreno,525,INGENIERÍA DEL TERRENO
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/530-ingenieria-e-infraestructura-de-los-transportes,530,INGENIERÍA E INFRAESTRUCTURA DE LOS TRANSPORTES
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/535-ingenieria-electrica,535,INGENIERÍA ELÉCTRICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/540-ingenieria-hidraulica,540,INGENIERÍA HIDRÁULICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/545-ingenieria-mecanica,545,INGENIERÍA MECÁNICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/555-ingenieria-quimica,555,INGENIERÍA QUÍMICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/560-ingenieria-telematica,560,INGENIERÍA TELEMÁTICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/566-inmunologia,566,INMUNOLOGÍA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/567-lengua-espanola,567,LENGUA ESPAÑOLA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/570-lenguajes-y-sistemas-informaticos,570,LENGUAJES Y SISTEMAS INFORMÁTICOS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/575-linguistica-general,575,LINGÜÍSTICA GENERAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/583-literatura-espanola,583,LITERATURA ESPAÑOLA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/590-maquinas-y-motores-termicos,590,MÁQUINAS Y MOTORES TÉRMICOS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/595-matematica-aplicada,595,MATEMÁTICA APLICADA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/600-mecanica-de-fluidos,600,MECÁNICA DE FLUIDOS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/605-mecanica-de-medios-continuos-y-t-de-estructuras,605,MECÁNICA DE MEDIOS CONTÍNUOS Y Tª DE ESTRUCTURAS
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/610-medicina,610,MEDICINA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/613-medicina-legal-y-forense,613,MEDICINA LEGAL Y FORENSE
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/615-medicina-preventiva-y-salud-publica,615,MEDICINA PREVENTIVA Y SALUD PÚBLICA
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/617-medicina-y-cirugia-animal,617,MEDICINA Y CIRUGÍA ANIMAL
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/623-metodos-cuant-para-economia-y-la-emp,623,MÉTODOS CUANT. PARA ECONOMÍA. Y LA EMP
http://opendata.unex.es/recurso/educacion/universidad/AreaConocimiento/630-microbiologia,630,MICROBIOLOGÍA
